date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:10	171232/171232	---M-Z	200	added ('OK')	text/html	etag:W/%2228890983903e8110397ab3868ec28112%22	https://www.aisgz.org/	C:/My%20Web%20Sites/AISG/www.aisgz.org/index.html	(from )
21:11:10	7726/7726	---M-Z	200	added ('OK')	text/plain	etag:W/%22ddf39c2ea6e636fd8117cad7d0f33fdd%22	https://www.aisgz.org/robots.txt		(from )
21:11:11	16958/16958	---M--	200	added ('OK')	image/x-icon	etag:%2220fc1c659a28d41:0%22	https://www.aisgz.org/uploaded/photos/default/aisgfavicon.ico	C:/My%20Web%20Sites/AISG/www.aisgz.org/uploaded/photos/default/aisgfavicon.ico	(from https://www.aisgz.org/)
21:11:13	379431/379431	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Apr%202019%2014:12:37%20GMT	http://static.finalsite.net/assets/application-77900acfe201cfa76bd4491aad6b102286acc086bdca1ab41c5ce47f3fdcea62.css	C:/My%20Web%20Sites/AISG/static.finalsite.net/assets/application-77900acfe201cfa76bd4491aad6b102286acc086bdca1ab41c5ce47f3fdcea62.css	(from https://www.aisgz.org/)
21:11:14	1784/1784	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202019%2020:11:14%20GMT	https://www.aisgz.org/styles.cfm?b	C:/My%20Web%20Sites/AISG/www.aisgz.org/styles92eb.css	(from https://www.aisgz.org/)
21:11:15	399075/399075	---M-Z	200	added ('OK')	text/css	etag:%2268965bfd28afd41:0%22	https://www.aisgz.org/uploaded/themes/default_18/main.css?1549034920	C:/My%20Web%20Sites/AISG/www.aisgz.org/uploaded/themes/default_18/maincd06.css	(from https://www.aisgz.org/)
21:11:16	127028/127028	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20Apr%202019%2018:16:27%20GMT	http://static.finalsite.net/assets/in_layout_head-49a75163b68835cb4e0be81700e5027338e69a26cfafb834887c08dd9fb22057.js	C:/My%20Web%20Sites/AISG/static.finalsite.net/assets/in_layout_head-49a75163b68835cb4e0be81700e5027338e69a26cfafb834887c08dd9fb22057.js	(from https://www.aisgz.org/)
21:11:18	1195/1195	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202019%2020:11:20%20GMT	https://use.typekit.net/aem6phf.css	C:/My%20Web%20Sites/AISG/use.typekit.net/aem6phf.css	(from https://www.aisgz.org/)
21:11:19	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2017%20May%202019%2020:11:21%20GMT	http://hm.baidu.com/hm.js?eda61a3a32c536a1f4b4d870488b3d7f	C:/My%20Web%20Sites/AISG/hm.baidu.com/hm.67b99.delayed	(from https://www.aisgz.org/)
21:11:20	3938/3938	---MCZ	200	added ('OK')	text/css	etag:W/%225afd48e8-f62%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	C:/My%20Web%20Sites/AISG/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	(from https://www.aisgz.org/)
21:11:21	19802/19802	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48e8-4d5a%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	C:/My%20Web%20Sites/AISG/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	(from https://www.aisgz.org/)
21:11:22	4210/4210	---M--	200	added ('OK')	image/png	etag:%22b56bda405299d41:0%22	https://www.aisgz.org/uploaded/themes/default_16/images/ios_logo_57.png	C:/My%20Web%20Sites/AISG/www.aisgz.org/uploaded/themes/default_16/images/ios_logo_57.png	(from https://www.aisgz.org/)
21:11:22	6439/6439	---M--	200	added ('OK')	image/png	etag:%228fc1932f5299d41:0%22	https://www.aisgz.org/uploaded/themes/default_16/images/ios_logo_72.png	C:/My%20Web%20Sites/AISG/www.aisgz.org/uploaded/themes/default_16/images/ios_logo_72.png	(from https://www.aisgz.org/)
21:11:23	9487/9487	---M--	200	added ('OK')	image/png	etag:%22c115c61c5299d41:0%22	https://www.aisgz.org/uploaded/themes/default_16/images/ios_logo_114.png	C:/My%20Web%20Sites/AISG/www.aisgz.org/uploaded/themes/default_16/images/ios_logo_114.png	(from https://www.aisgz.org/)
21:11:26	93454/93454	---M-Z	200	added ('OK')	text/javascript	etag:W/%2216d0e-NAAbfkkbDgmT9DVxEr1xS4wAcnA%22	http://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/AISG/platform-api.sharethis.com/js/sharethis.js	(from https://www.aisgz.org/)
21:11:29	78215/78215	---M-Z	200	added ('OK')	text/html	etag:W/%22f148ed3d148e86812707d92dba08c027%22	https://www.aisgz.org/about-us	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us.html	(from https://www.aisgz.org/)
21:11:33	54257/54257	---M-Z	200	added ('OK')	text/html	etag:W/%228dc1c5a649e9ca6412895a3421688990%22	https://www.aisgz.org/about-us/directors-welcome	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/directors-welcome.html	(from https://www.aisgz.org/)
21:11:35	99648/99648	---M-Z	200	added ('OK')	text/html	etag:W/%227243d344637e63f6493256966fcbd32a%22	https://www.aisgz.org/about-us/our-history	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/our-history.html	(from https://www.aisgz.org/)
21:11:36	78097/78097	---M-Z	200	added ('OK')	text/html	etag:W/%2276f9ced87d2036589bc9d936a3650525%22	https://www.aisgz.org/about-us/our-mission-and-vision	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/our-mission-and-vision.html	(from https://www.aisgz.org/)
21:11:37	68703/68703	---M-Z	200	added ('OK')	text/html	etag:W/%229105d29b5197152b0e6a2d1f4159a1e1%22	https://www.aisgz.org/about-us/leadership	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/leadership.html	(from https://www.aisgz.org/)
21:11:38	75246/75246	---M-Z	200	added ('OK')	text/html	etag:W/%22b0b87c27d158212278e1b79c7f330d97%22	https://www.aisgz.org/about-us/school-board	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/school-board.html	(from https://www.aisgz.org/)
21:11:40	122865/122865	---M-Z	200	added ('OK')	text/html	etag:W/%222c84ec9e209e96ded126bef3c87f9d8f%22	https://www.aisgz.org/about-us/our-campuses	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/our-campuses.html	(from https://www.aisgz.org/)
21:11:41	49697/49697	---M-Z	200	added ('OK')	text/html	etag:W/%224b231e1d7ca0dca2226be98af5e62c5e%22	https://www.aisgz.org/about-us/news-publications	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/news-publications.html	(from https://www.aisgz.org/)
21:11:43	50309/50309	---M-Z	200	added ('OK')	text/html	etag:W/%22a2a2450634842f0508a117f27039a2c4%22	https://www.aisgz.org/about-us/news-publications/publications	C:/My%20Web%20Sites/AISG/www.aisgz.org/about-us/news-publications/publications.html	(from https://www.aisgz.org/)
21:11:44	58610/58610	---M-Z	200	added ('OK')	text/html	etag:W/%22937b44e5a16ebb851c2782894616d657%22	https://www.aisgz.org/admissions	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions.html	(from https://www.aisgz.org/)
21:11:46	52594/52594	---M-Z	200	added ('OK')	text/html	etag:W/%22037a965dd833b6a34e67b2d5433fe2ba%22	https://www.aisgz.org/admissions/visit-aisg	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions/visit-aisg.html	(from https://www.aisgz.org/)
21:11:47	74484/74484	---M-Z	200	added ('OK')	text/html	etag:W/%22dbda9b8246a3e84787852350910e82cd%22	https://www.aisgz.org/admissions/apply-to-aisg	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions/apply-to-aisg.html	(from https://www.aisgz.org/)
21:11:48	45160/45160	---M-Z	200	added ('OK')	text/html	etag:W/%22a6e94cdd0e8f1428ae61f3130605846a%22	https://www.aisgz.org/admissions/apply-to-aisg/cny-holiday	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions/apply-to-aisg/cny-holiday.html	(from https://www.aisgz.org/)
21:11:50	61524/61524	---M-Z	200	added ('OK')	text/html	etag:W/%22b134a3f75f0e61879f5108509e46bf8c%22	https://www.aisgz.org/admissions/tuition-and-fees	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions/tuition-and-fees.html	(from https://www.aisgz.org/)
21:11:51	68210/68210	---M-Z	200	added ('OK')	text/html	etag:W/%2282b5a5a4a40d3ab6c0b25298feda7e7d%22	https://www.aisgz.org/admissions/frequently-asked-questions	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions/frequently-asked-questions.html	(from https://www.aisgz.org/)
21:11:52	64054/64054	---M-Z	200	added ('OK')	text/html	etag:W/%226f2c4ede7b206fb53259e0a370f662f5%22	https://www.aisgz.org/learning	C:/My%20Web%20Sites/AISG/www.aisgz.org/learning.html	(from https://www.aisgz.org/)
21:11:54	60235/60235	---M-Z	200	added ('OK')	text/html	etag:W/%229e74fdb15b73571f4e75180389c2a6f6%22	https://www.aisgz.org/learning/preschool	C:/My%20Web%20Sites/AISG/www.aisgz.org/learning/preschool.html	(from https://www.aisgz.org/)
21:11:56	69346/69346	---M-Z	200	added ('OK')	text/html	etag:W/%225cc73e548cfb7febd899305c970a3c54%22	https://www.aisgz.org/learning/es	C:/My%20Web%20Sites/AISG/www.aisgz.org/learning/es.html	(from https://www.aisgz.org/)
21:11:57	72110/72110	---M-Z	200	added ('OK')	text/html	etag:W/%2259a9c3e336b541b12cb5aff3b4979653%22	https://www.aisgz.org/learning/middle-school	C:/My%20Web%20Sites/AISG/www.aisgz.org/learning/middle-school.html	(from https://www.aisgz.org/)
21:11:59	72823/72823	---M-Z	200	added ('OK')	text/html	etag:W/%22896c0cfd42c02249b7faf09a67a115b8%22	https://www.aisgz.org/learning/high-school	C:/My%20Web%20Sites/AISG/www.aisgz.org/learning/high-school.html	(from https://www.aisgz.org/)
21:12:00	80539/80539	---M-Z	200	added ('OK')	text/html	etag:W/%22c8a226b6eb5f1f1dfc99f64f2eaad436%22	https://www.aisgz.org/learning/the-innovation-initiative	C:/My%20Web%20Sites/AISG/www.aisgz.org/learning/the-innovation-initiative.html	(from https://www.aisgz.org/)
21:12:01	62438/62438	---M-Z	200	added ('OK')	text/html	etag:W/%224e2ba3e477f1c41da63a7b0a772584c4%22	https://www.aisgz.org/student-life	C:/My%20Web%20Sites/AISG/www.aisgz.org/student-life.html	(from https://www.aisgz.org/)
21:12:02	62438/62438	---M-Z	200	added ('OK')	text/html	etag:W/%220b991ff79ac8ffc7c5349ed3c3c238f4%22	https://www.aisgz.org/student-life/student-counseling	C:/My%20Web%20Sites/AISG/www.aisgz.org/student-life/student-counseling.html	(from https://www.aisgz.org/)
21:12:03	72635/72635	---M-Z	200	added ('OK')	text/html	etag:W/%22aa7fc91024c1f162e253f63f71be064d%22	https://www.aisgz.org/student-life/college-counseling	C:/My%20Web%20Sites/AISG/www.aisgz.org/student-life/college-counseling.html	(from https://www.aisgz.org/)
21:12:04	53482/53482	---M-Z	200	added ('OK')	text/html	etag:W/%2208208fd537dbc7cf2b43347327b0bde0%22	https://www.aisgz.org/student-life/community-service	C:/My%20Web%20Sites/AISG/www.aisgz.org/student-life/community-service.html	(from https://www.aisgz.org/)
21:12:06	54448/54448	---M-Z	200	added ('OK')	text/html	etag:W/%22c7c7e38c66b5abf2c16874546130af03%22	https://www.aisgz.org/student-life/child-protection	C:/My%20Web%20Sites/AISG/www.aisgz.org/student-life/child-protection.html	(from https://www.aisgz.org/)
21:12:08	59534/59534	---M-Z	200	added ('OK')	text/html	etag:W/%22096b40b0d3aa9aa10514b94f2149adc5%22	https://www.aisgz.org/aaa	C:/My%20Web%20Sites/AISG/www.aisgz.org/aaa.html	(from https://www.aisgz.org/)
21:12:10	98833/98833	---M-Z	200	added ('OK')	text/html	etag:W/%227eaa50e27d15b46a121a66fc8ae1afcc%22	https://www.aisgz.org/aaa/the-arts	C:/My%20Web%20Sites/AISG/www.aisgz.org/aaa/the-arts.html	(from https://www.aisgz.org/)
21:12:11	60142/60142	---M-Z	200	added ('OK')	text/html	etag:W/%228b5d9444526f9a0a01e88556d9e27cce%22	https://www.aisgz.org/aaa/athletics	C:/My%20Web%20Sites/AISG/www.aisgz.org/aaa/athletics.html	(from https://www.aisgz.org/)
21:12:12	60171/60171	---M-Z	200	added ('OK')	text/html	etag:W/%221be2bba45f37674f476a451fce0a1074%22	https://www.aisgz.org/aaa/activities	C:/My%20Web%20Sites/AISG/www.aisgz.org/aaa/activities.html	(from https://www.aisgz.org/)
21:12:13	58081/58081	---M-Z	200	added ('OK')	text/html	etag:W/%22b3177f69b2ba5dbc04cb494cfc774c9e%22	https://www.aisgz.org/community	C:/My%20Web%20Sites/AISG/www.aisgz.org/community.html	(from https://www.aisgz.org/)
21:12:15	71163/71163	---M-Z	200	added ('OK')	text/html	etag:W/%2277e5f8d3fb6f6fdea57694ac9ebcff14%22	https://www.aisgz.org/community/pta	C:/My%20Web%20Sites/AISG/www.aisgz.org/community/pta.html	(from https://www.aisgz.org/)
21:12:16	100401/100401	---M-Z	200	added ('OK')	text/html	etag:W/%2260577604940a834d92bce8853910ea85%22	https://www.aisgz.org/community/alumni	C:/My%20Web%20Sites/AISG/www.aisgz.org/community/alumni.html	(from https://www.aisgz.org/)
21:12:17	58238/58238	---M-Z	200	added ('OK')	text/html	etag:W/%229ac860ee12b53854ae01f7382eb16e38%22	https://www.aisgz.org/community/giving-to-aisg	C:/My%20Web%20Sites/AISG/www.aisgz.org/community/giving-to-aisg.html	(from https://www.aisgz.org/)
21:12:18	56288/56288	---M-Z	200	added ('OK')	text/html	etag:W/%22f364aea223e58ef59c83cffce7f8a8e2%22	https://www.aisgz.org/careers	C:/My%20Web%20Sites/AISG/www.aisgz.org/careers.html	(from https://www.aisgz.org/)
21:12:19	60833/60833	---M-Z	200	added ('OK')	text/html	etag:W/%227a9ab82ccd0613765aa8fbfe91d95491%22	https://www.aisgz.org/careers/why-choose-aisg	C:/My%20Web%20Sites/AISG/www.aisgz.org/careers/why-choose-aisg.html	(from https://www.aisgz.org/)
21:12:20	53355/53355	---M-Z	200	added ('OK')	text/html	etag:W/%2258dc8cf504a029575add0c6728278dd7%22	https://www.aisgz.org/careers/current-opportunities	C:/My%20Web%20Sites/AISG/www.aisgz.org/careers/current-opportunities.html	(from https://www.aisgz.org/)
21:12:21	25290/25290	---M-Z	200	added ('OK')	text/html	etag:W/%2235c892b209ae5e5e05c49245b7462848%22	https://www.aisgz.org/language	C:/My%20Web%20Sites/AISG/www.aisgz.org/language.html	(from https://www.aisgz.org/)
21:12:22	49104/49104	---M-Z	200	added ('OK')	text/html	etag:W/%227852548fdb7ff238a34cdf824c47ec32%22	https://www.aisgz.org/login	C:/My%20Web%20Sites/AISG/www.aisgz.org/login.html	(from https://www.aisgz.org/)
21:12:23	49221/49221	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20May%202019%2020:12:25%20GMT	https://www.aisgz.org/ramsnet-student	C:/My%20Web%20Sites/AISG/www.aisgz.org/ramsnet-student.html	(from https://www.aisgz.org/)
21:12:24	49219/49219	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20May%202019%2020:12:27%20GMT	https://www.aisgz.org/ramsnet-parent	C:/My%20Web%20Sites/AISG/www.aisgz.org/ramsnet-parent.html	(from https://www.aisgz.org/)
21:12:25	49223/49223	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20May%202019%2020:12:28%20GMT	https://www.aisgz.org/ramsnet-employee	C:/My%20Web%20Sites/AISG/www.aisgz.org/ramsnet-employee.html	(from https://www.aisgz.org/)
21:12:26	96/96	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202019%2020:12:28%20GMT	https://www.aisgz.org/quicklinks-link/calendar-link	C:/My%20Web%20Sites/AISG/www.aisgz.org/quicklinks-link/calendar-link	(from https://www.aisgz.org/)
21:12:27	60618/60618	---M-Z	200	added ('OK')	text/html	etag:W/%2281368f43d4b22cf9f22e2083f3b41572%22	https://www.aisgz.org/calendar	C:/My%20Web%20Sites/AISG/www.aisgz.org/calendar.html	(from https://www.aisgz.org/)
21:12:28	47037/47037	---M-Z	200	added ('OK')	text/html	etag:W/%222093f08bbc8cc2c05a3999461df69e01%22	https://www.aisgz.org/admissions/enquiry-form	C:/My%20Web%20Sites/AISG/www.aisgz.org/admissions/enquiry-form.html	(from https://www.aisgz.org/)
21:12:29	50289/50289	---M-Z	200	added ('OK')	text/html	etag:W/%22c0cd30ddc99c48b9a9fd38fe046985a0%22	https://www.aisgz.org/contact-us	C:/My%20Web%20Sites/AISG/www.aisgz.org/contact-us.html	(from https://www.aisgz.org/)
21:12:29	25273/25273	---M-Z	200	added ('OK')	text/html	etag:W/%22bb191fc0dc5a2ffb2e6c94ba078af640%22	https://www.aisgz.org/search	C:/My%20Web%20Sites/AISG/www.aisgz.org/search.html	(from https://www.aisgz.org/)
21:12:30	44517/44517	---M-Z	200	added ('OK')	text/html	etag:W/%22991423e57c88c982cf6333c4c187e696%22	https://www.aisgz.org/wechat-qr-code	C:/My%20Web%20Sites/AISG/www.aisgz.org/wechat-qr-code.html	(from https://www.aisgz.org/)
21:12:31	95/95	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202019%2020:12:33%20GMT	https://www.aisgz.org/fs/pages/832	C:/My%20Web%20Sites/AISG/www.aisgz.org/fs/pages/832	(from https://www.aisgz.org/)
21:12:34	86914/86914	---M-Z	200	added ('OK')	text/html	etag:W/%22901f1602d0ea24d200d71ba2a2bbc785%22	https://www.aisgz.org/home-ch	C:/My%20Web%20Sites/AISG/www.aisgz.org/home-ch.html	(from https://www.aisgz.org/)
21:12:35	74564/74564	---M--	200	added ('OK')	image/jpeg	etag:%2222ebe439769153da1751559ca71a4d61%22	https://resources.finalsite.net/videos/v1534250529/aisgzorg/rewekyzsdujq19ept9hv/HomePageVideo-compressed.jpg	C:/My%20Web%20Sites/AISG/resources.finalsite.net/videos/v1534250529/aisgzorg/rewekyzsdujq19ept9hv/HomePageVideo-compressed.jpg	(from https://www.aisgz.org/)
21:12:36	57253/57253	---M--	200	added ('OK')	image/jpeg	etag:%22ac8d5d868eaa3d9d53ed198424d7a4a2%22	https://resources.finalsite.net/videos/v1528700394/aisgzorg/ptsyn3asivaacxibfwxf/AISG-InspiringBrightFutures-2-720p.jpg	C:/My%20Web%20Sites/AISG/resources.finalsite.net/videos/v1528700394/aisgzorg/ptsyn3asivaacxibfwxf/AISG-InspiringBrightFutures-2-720p.jpg	(from https://www.aisgz.org/)
21:12:36	112/112	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202019%2020:12:39%20GMT	https://www.aisgz.org/fs/pages/741	C:/My%20Web%20Sites/AISG/www.aisgz.org/fs/pages/741	(from https://www.aisgz.org/)
21:12:37	108/108	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20May%202019%2020:12:39%20GMT	https://www.aisgz.org/fs/pages/873	C:/My%20Web%20Sites/AISG/www.aisgz.org/fs/pages/873	(from https://www.aisgz.org/)
